row_id,L,P,tipo,linhas_executaveis,linhas_executadas,linhas_nao_executadas,binary_tempo_ns,binary_memoria_kb,binary_iteracoes,interpolation_tempo_ns,interpolation_memoria_kb,interpolation_iteracoes,binary_interpolation_tempo_ns,binary_interpolation_memoria_kb,binary_interpolation_iteracoes,interpolation_once_binary_tempo_ns,interpolation_once_binary_memoria_kb,interpolation_once_binary_iteracoes
sim_008_L_2048_P_30_biased,2048,30,biased,2048,614,1434,38.573,15276.0,9.01,93.165,15276.0,6.193,46.454,15276.0,2.945,42.894,15276.0,7.603
sim_008_L_2048_P_30_cluster,2048,30,cluster,2048,614,1434,43.3,15276.0,9.094,103.343,15276.0,6.527,63.754,15276.0,3.677,50.161,15276.0,8.82
sim_008_L_2048_P_30_fault,2048,30,fault,2048,614,1434,39.379,15416.0,9.065,47.114,15416.0,3.199,53.872,15416.0,2.933,44.453,15416.0,8.293
sim_008_L_2048_P_30_uniform,2048,30,uniform,2048,614,1434,33.363,15380.0,9.026,31.728,15380.0,2.356,43.565,15380.0,2.287,48.167,15380.0,8.483
sim_008_L_2048_P_40_biased,2048,40,biased,2048,819,1229,38.752,15360.0,9.333,90.352,15360.0,5.469,58.293,15360.0,3.212,54.177,15360.0,8.691
sim_008_L_2048_P_40_cluster,2048,40,cluster,2048,819,1229,33.312,15380.0,9.302,103.101,15380.0,6.843,60.108,15380.0,3.082,47.13,15380.0,9.214
sim_008_L_2048_P_40_fault,2048,40,fault,2048,819,1229,45.589,15492.0,9.338,50.424,15492.0,3.515,54.335,15492.0,3.144,54.097,15492.0,8.888
sim_008_L_2048_P_40_uniform,2048,40,uniform,2048,819,1229,43.15,15360.0,9.352,44.744,15360.0,2.78,54.101,15360.0,2.657,46.13,15360.0,8.356
sim_008_L_2048_P_50_biased,2048,50,biased,2048,1024,1024,44.062,15416.0,9.508,64.462,15416.0,4.327,60.155,15416.0,3.417,54.004,15416.0,8.911
sim_008_L_2048_P_50_cluster,2048,50,cluster,2048,1024,1024,52.607,15492.0,9.543,117.622,15492.0,6.392,74.182,15492.0,4.034,45.556,15492.0,9.316
sim_008_L_2048_P_50_fault,2048,50,fault,2048,1024,1024,46.794,15380.0,9.508,57.698,15380.0,3.677,61.822,15380.0,3.392,54.363,15380.0,8.959
sim_008_L_2048_P_50_uniform,2048,50,uniform,2048,1024,1024,39.673,15380.0,9.509,32.203,15380.0,2.292,35.53,15380.0,2.23,45.365,15380.0,9.019
sim_008_L_2048_P_60_biased,2048,60,biased,2048,1228,820,43.983,15376.0,9.751,63.026,15376.0,4.222,53.099,15376.0,3.363,38.088,15376.0,9.113
sim_008_L_2048_P_60_cluster,2048,60,cluster,2048,1228,820,40.699,15492.0,9.707,75.52,15492.0,4.867,65.702,15492.0,3.856,50.95,15492.0,9.785
sim_008_L_2048_P_60_fault,2048,60,fault,2048,1228,820,46.439,15276.0,9.722,42.063,15276.0,3.085,47.441,15276.0,2.997,50.21,15276.0,9.581
sim_008_L_2048_P_60_uniform,2048,60,uniform,2048,1228,820,43.352,15492.0,9.731,40.696,15492.0,2.598,51.323,15492.0,2.553,56.204,15492.0,9.088
sim_008_L_2048_P_70_biased,2048,70,biased,2048,1433,615,44.376,15376.0,9.882,45.286,15376.0,3.467,51.355,15376.0,3.242,50.155,15376.0,8.744
sim_008_L_2048_P_70_cluster,2048,70,cluster,2048,1433,615,45.359,15376.0,9.831,60.417,15376.0,4.367,56.455,15376.0,3.445,50.164,15376.0,9.45
sim_008_L_2048_P_70_fault,2048,70,fault,2048,1433,615,48.076,15492.0,9.884,54.609,15492.0,3.26,61.573,15492.0,3.026,62.725,15492.0,9.465
sim_008_L_2048_P_70_uniform,2048,70,uniform,2048,1433,615,43.599,15276.0,9.879,35.781,15276.0,2.526,37.592,15276.0,2.508,59.536,15276.0,9.634
sim_008_L_2048_P_80_biased,2048,80,biased,2048,1638,410,47.629,15272.0,9.953,43.553,15272.0,3.053,51.531,15272.0,3.005,45.911,15272.0,9.282
sim_008_L_2048_P_80_cluster,2048,80,cluster,2048,1638,410,40.424,15416.0,9.931,57.118,15416.0,4.556,53.168,15416.0,3.148,51.031,15416.0,9.492
sim_008_L_2048_P_80_fault,2048,80,fault,2048,1638,410,44.099,15360.0,9.954,45.018,15360.0,2.894,50.867,15360.0,2.739,48.007,15360.0,9.413
sim_008_L_2048_P_80_uniform,2048,80,uniform,2048,1638,410,44.311,15380.0,9.948,35.324,15380.0,2.528,43.21,15380.0,2.503,47.586,15380.0,9.44
sim_008_L_256_P_30_biased,256,30,biased,256,76,180,21.584,15272.0,6.043,44.855,15272.0,3.316,29.264,15272.0,1.766,30.335,15272.0,4.98
sim_008_L_256_P_30_cluster,256,30,cluster,256,76,180,33.652,15360.0,6.48,75.91,15360.0,4.445,63.153,15360.0,2.945,42.598,15360.0,6.484
sim_008_L_256_P_30_fault,256,30,fault,256,76,180,21.803,15376.0,5.945,33.148,15376.0,2.121,38.904,15376.0,1.914,32.106,15376.0,5.555
sim_008_L_256_P_30_uniform,256,30,uniform,256,76,180,30.523,15416.0,6.043,30.798,15416.0,1.926,41.549,15416.0,1.879,55.35,15416.0,6.262
sim_008_L_256_P_40_biased,256,40,biased,256,102,154,33.851,15272.0,6.406,58.701,15272.0,3.445,50.864,15272.0,2.406,41.714,15272.0,5.277
sim_008_L_256_P_40_cluster,256,40,cluster,256,102,154,38.75,15492.0,6.422,103.617,15492.0,5.277,43.105,15492.0,2.195,31.769,15492.0,6.035
sim_008_L_256_P_40_fault,256,40,fault,256,102,154,26.299,15376.0,6.355,26.451,15376.0,2.145,27.537,15376.0,2.043,35.908,15376.0,6.246
sim_008_L_256_P_40_uniform,256,40,uniform,256,102,154,25.651,15376.0,6.406,31.627,15376.0,1.93,34.661,15376.0,1.961,26.966,15376.0,5.703
sim_008_L_256_P_50_biased,256,50,biased,256,128,128,31.104,15376.0,6.535,45.359,15376.0,2.926,37.642,15376.0,2.316,29.524,15376.0,5.809
sim_008_L_256_P_50_cluster,256,50,cluster,256,128,128,22.199,15360.0,6.535,56.057,15360.0,4.262,27.405,15360.0,2.051,34.476,15360.0,6.164
sim_008_L_256_P_50_fault,256,50,fault,256,128,128,42.662,15416.0,6.535,34.521,15416.0,1.93,37.224,15416.0,1.82,46.339,15416.0,5.672
sim_008_L_256_P_50_uniform,256,50,uniform,256,128,128,35.218,15360.0,6.539,32.879,15360.0,2.152,42.243,15360.0,2.121,40.022,15360.0,6.316
sim_008_L_256_P_60_biased,256,60,biased,256,153,103,27.091,15376.0,6.766,54.596,15376.0,3.418,47.72,15376.0,2.824,34.598,15376.0,6.242
sim_008_L_256_P_60_cluster,256,60,cluster,256,153,103,25.749,15416.0,6.906,17.57,15416.0,1.492,21.765,15416.0,1.359,29.67,15416.0,6.77
sim_008_L_256_P_60_fault,256,60,fault,256,153,103,28.68,15276.0,6.762,36.343,15276.0,2.703,37.949,15276.0,2.52,32.816,15276.0,6.234
sim_008_L_256_P_60_uniform,256,60,uniform,256,153,103,24.439,15376.0,6.762,28.535,15376.0,2.031,27.673,15376.0,1.984,27.019,15376.0,5.938
sim_008_L_256_P_70_biased,256,70,biased,256,179,77,30.753,15380.0,6.922,46.127,15380.0,3.039,42.029,15380.0,2.922,42.713,15380.0,6.422
sim_008_L_256_P_70_cluster,256,70,cluster,256,179,77,37.219,15272.0,6.828,70.368,15272.0,3.758,45.522,15272.0,2.418,39.621,15272.0,6.926
sim_008_L_256_P_70_fault,256,70,fault,256,179,77,43.337,15416.0,6.918,33.59,15416.0,2.371,45.554,15416.0,2.328,36.573,15416.0,6.375
sim_008_L_256_P_70_uniform,256,70,uniform,256,179,77,35.78,15376.0,6.926,39.054,15376.0,2.047,36.106,15376.0,2.074,40.231,15376.0,6.227
sim_008_L_256_P_80_biased,256,80,biased,256,204,52,23.572,15376.0,6.969,26.573,15376.0,2.219,35.829,15376.0,2.195,51.873,15376.0,6.344
sim_008_L_256_P_80_cluster,256,80,cluster,256,204,52,33.977,15360.0,7.031,50.632,15360.0,3.281,52.424,15360.0,3.242,45.673,15360.0,7.438
sim_008_L_256_P_80_fault,256,80,fault,256,204,52,28.119,15380.0,6.973,33.97,15380.0,2.328,34.678,15380.0,2.242,43.501,15380.0,6.031
sim_008_L_256_P_80_uniform,256,80,uniform,256,204,52,36.33,15276.0,6.961,34.358,15276.0,2.008,43.256,15276.0,1.957,43.947,15276.0,5.664
sim_008_L_32768_P_30_biased,32768,30,biased,32768,9830,22938,68.012,17016.0,13.028,148.658,17016.0,9.408,62.414,17016.0,3.468,61.61,17016.0,11.747
sim_008_L_32768_P_30_cluster,32768,30,cluster,32768,9830,22938,63.736,17396.0,13.058,131.735,17396.0,8.119,100.69,17396.0,5.635,62.836,17396.0,13.285
sim_008_L_32768_P_30_fault,32768,30,fault,32768,9830,22938,59.65,17140.0,13.024,55.5,17140.0,3.821,64.612,17140.0,3.608,63.416,17140.0,12.894
sim_008_L_32768_P_30_uniform,32768,30,uniform,32768,9830,22938,61.883,17016.0,13.031,50.7,17016.0,3.392,56.589,17016.0,3.297,60.505,17016.0,12.779
